,row.labels,reef.key,reef.name,reef.name.old,gbrmpa.id,gbrmpa.sub.id,lat,long,acr,alng,abundance,richness,shelf.position,site.key,old.site,date,observer,time,depth,max.depth,min.depth,slope,hard.substrate,hard.coral,soft.coral,sponge,algal.assemblage,sargassum,macro.algae,continuous.platform,large.block,small.block,rubble,sand,silt,dead.standing.coral,major.disturbance..time.,habitat,reef.development,visibility,porites.massive,pocillo.damicorn,styloph.pistilla,galaxea.fascicul,acropor.hyacinth,platygy.daedalea,acropor.millepor,favites.abdita,acropor.tenuis,seriato.hystrix,favia.favus,acropor.valida,acropor.nobilis,acropor.formosa,favia.pallida,lobophy.hemprich,goniast.pectinat,acropor.aculeus,acropor.humilis,fungia.fungites,goniast.retiform,acropor.cerealis,acropor.divarica,acropor.nasuta,hydnoph.exesa,acropor.elseyi,leptori.phrygia,echinop.lamellos,acropor.palifera,merulin.ampliata,montipo.aequitub,favites.flexuosa,acropor.secale,pachyse.speciosa,astreop.myriopht,platygy.lamellin,goniast.australe,diploas.heliopor,symphyl.recta,acropor.micropht,acropor.digitife,cyphast.serailia,acropor.loripes,platygy.sinensis,acropor.florida,turbina.reniform,acropor.sarmento,favites.halicora,montipo.informis,porites.cylindri,montipo.tubercul,acropor.cytherea,pectini.lactuca,favia.lizarden,mycediu.elephant,leptast.pruinosa,lobophy.corymbos,oxypora.lacera,goniast.aspera,favia.maritima,favia.matthaii,favites.pentagon,favites.complana,symphyl.radians,galaxea.astreata,acropor.longicya,turbina.mesenter,oulophy.crispa,platygy.pini,porites.annae,montast.curta,goniopo.minor,echinop.aspera,pocillo.verrucos,acropor.gemmifer,coscina.columna,montipo.danae,herpoli.limax,montast.magniste,acropor.yongei,pachyse.rugosa,echinop.horrida,montipo.hoffmeis,turbina.peltata,fungia.concinna,montipo.stellata,porites.lichen,favites.russelli,hydnoph.rigida,acropor.selago,ctenact.echinata,acropor.austera,podabac.crustace,pavona.cactus,porites.rus,lobophy.pachysep,echinop.gemmacea,montipo.hispida,acropor.grandis,pavona.decussat,acantha.echinata,psammoc.contigua,hydnoph.microcon,leptast.transver,goniast.palauens,favia.stellige,montipo.undata,psammoc.digitata,pocillo.eydouxi,porites.nigresce,turbina.frondens,favia.speciosa,heliofu.actinifo,goniopo.tenuiden,acropor.robusta,acropor.brueggem,turbina.stellula,symphyl.agaricia,ctenact.crassa,physogy.lichtens,montipo.foliosa,goniast.edwardsi,pavona.varians,acropor.aspera,montipo.spumosa,coelose.mayeri,leptast.purpurea,goniast.favulus,favia.rotundat,acropor.latistel,cyphast.chalcidi,acropor.samoensi,sandalo.robusta,montipo.grisea,barabat.amicorum,astreop.gracilis,acropor.vaughani,goniopo.djibouti,favia.rotumana,acropor.valencie,caulast.furcata,plesias.versipor,oulophy.bennetta,montipo.monaster,favites.chinensi,goniopo.columna,acropor.abrotano,montipo.crassitu,moseley.latistel,montipo.foveolat,pectini.paeonia,polyphy.talpina,acropor.microcla,montipo.digitata,merulin.scabricu,montipo.efflores,goniopo.pandorae,goniopo.pendulus,acropor.willisae,porites.vaughani,pavona.venosa,cyphast.decadia,acropor.anthocer,acropor.pulchra,seriato.caliendr,acropor.clathrat,turbina.patula,plerogy.sinuosa,montast.valencie,goniopo.lobata,acantha.hillae,acropor.carduus,echinop.mammifor,echinop.orpheens,scolymi.vitiensi,pectini.alcicorn,fungia.paumoten,turbina.bifrons,euphyll.divisa,cyphast.micropht,montipo.incrassa,acropor.horrida,palauas.ramosa,favia.laxa,cynarin.lacrymal,acropor.panicula,pavona.explanul,euphyll.glabresc,acropor.subulata,acropor.monticul,porites.evermann,montipo.verrucos,halomit.pileus,montipo.venosa,fungia.danai,goniopo.stutchbu,coscina.exesa,fungia.horrida,herpoli.weberi,montipo.turgesce,astreop.listeri,euphyll.cristata,favia.maxima,goniopo.fruticos,echinop.pacificu,leptose.yabei,acropor.verweyi,acropor.carolini,tubastr.micranth,psammoc.profunda,montipo.floweri,gardine.planulat,euphyll.ancora,acropor.kirstyae,fungia.granulos,scapoph.cylindri,pseudos.tayami,montipo.turtlens,leptose.mycetose,montipo.nodosa,montipo.millepor,leptose.scabra,fungia.repanda,goniopo.eclipsen,pavona.duerdeni,leptose.explanat,hydnoph.pilosa,acropor.listeri,acropor.dendrum,acropor.glauca,astreop.cucullat,pavona.clavus,lobophy.hataii,acropor.cuneata,montipo.spongode,oxypora.glabra,mycediu.mancaoi,acropor.spathula,caulast.curvata,alveopo.allingi,acropor.granulos,psammoc.superfic,leptose.hawaiien,acropor.solitary,acropor.spicifer,pocillo.meandrin,echinop.echinopo,platygy.ryukyuen,platygy.verweyi,fungia.moluccen,psammoc.haimeana,montast.annulige,fungia.scutaria,acropor.lutkeni,acropor.donei,acropor.acuminat,porites.murrayen,porites.stephens,fungia.klunzing,anacrop.forbesi,acantha.bowerban,echinop.echinata,galaxea.horresce,acropor.palmerae,acropor.nana,styloco.guenther,austral.zelli,acropor.subglabr,lobophy.robusta,goniopo.somalien,tubastr.coccinae,acropor.prostrat,paracla.triangul,montipo.mollis,fungia.valida,acropor.chesterf,favia.danae,anacrop.puertoga,montipo.calicula,porites.solida,goniopo.palmensi,astreop.moretone,echinop.hirsutis,acantha.lordhowe,pocillo.woodjone,turbina.heronens,goniopo.stokesi,platygy.contorta,favia.rosaria,pavona.maldiven,acropor.polystom,turbina.radicali,fungia.scruposa,favia.truncatu,montipo.confusa,astreop.ocellata,favia.veroni,leptast.inaequal,madraci.kirbyi,alveopo.catalai,leptose.gardiner,lithoph.undulatu,porites.deformis,lobophy.dentatus,hydnoph.grandis,fungia.corona,turbina.conspicu,leptose.foliosa,montipo.corbette,alveopo.fenestra,duncano.axifuga,scolymi.australi,porites.myrmidon,lobophy.diminuta,styloco.armata,blastom.wellsi,psammoc.obtusang,psammoc.nierstra,alveopo.spongios,galaxea.acrhelia,podabac.motupore,canthar.noumeae.,favia.helianth,turbina.irregula,leptose.solida,astreop.incrusta,leptast.bewicken,montipo.angulata,clavari.triangul,acropor.echinata,montipo.capricor,alveopo.marionen,heterop.cochlea,alveopo.gigas,symphyl.valencie,cyclose.costulat,blastom.merleti,acropor.lovelli,porites.monticul,pocillo.kelleher,pocillo.danae,pectini.maxima,oxypora.crassisp,mycediu.robakaki,echinom.nishihir,acantha.regulari,acantha.hemprich,diaseri.fragilis,cyclose.vaughani,cyclose.patellif,ctenact.albitent,canthar.jebbi,oulophy.levis,barabat.laddi,astreop.randalli,anacrop.reticula,tubastr.faulkner,sideras.savignya,porites.mayeri,alveopo.verrilli,trachyp.geoffroy,catalap.jardinei,acropor.multiacu,grp7
127,127,23,Rudder,Rudder Reef,16023,s,16.214,145.6718333,0.3978,0.652,32,28,Mid-Outer,192,27.13,8/20/1995 0:00:00,td,1000,2.5,3,2,15,100,30,35,1,NA,NA,NA,100,NA,NA,NA,NA,NA,5,15,,NA,NA,2,0,1,1,1,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
128,128,23,Rudder,Rudder Reef,16023,s,16.214,145.6718333,0.3978,0.652,41,38,Mid-Outer,193,27.14,8/20/1995 0:00:00,td,1015,1,1,1,0,100,20,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,1,20,,NA,NA,1,2,2,0,1,1,1,1,1,2,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
129,129,23,Rudder,Rudder Reef,16023,s,16.17633333,145.6868333,0.4414,0.6536,56,52,Mid-Outer,194,28.11,8/20/1995 0:00:00,ld,1100,7,8,6,30,50,10,5,1,15,NA,10,50,NA,NA,NA,50,NA,NA,10,,NA,NA,1,1,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
130,130,23,Rudder,Rudder Reef,16023,s,16.17633333,145.6868333,0.4414,0.6536,37,30,Mid-Outer,195,28.12,8/20/1995 0:00:00,ld,1120,4,5,3,30,50,15,5,NA,20,NA,NA,50,NA,NA,NA,50,NA,5,5,,NA,NA,1,1,2,0,2,0,2,0,2,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
131,131,23,Rudder,Rudder Reef,16023,s,16.17633333,145.6868333,0.4414,0.6536,29,27,Mid-Outer,196,28.13,8/20/1995 0:00:00,td,1115,1.5,2,1,0,100,60,5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,5,15,,NA,NA,1,0,1,0,2,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
132,132,24,Tongue,Tongue Reef,16026,s,16.406,145.843,0.6089,0.6374,40,33,Mid-Outer,197,24.11,8/18/1995 0:00:00,ld,900,7.5,9,6,5,60,5,5,NA,40,NA,1,40,5,5,10,40,NA,25,15,,NA,NA,1,3,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
133,133,24,Tongue,Tongue Reef,16026,s,16.406,145.843,0.6089,0.6374,49,37,Mid-Outer,198,24.12,8/18/1995 0:00:00,ld,930,4.5,6,3,20,100,10,15,NA,30,NA,2,80,5,5,10,10,NA,20,15,,NA,NA,2,1,0,1,3,0,2,1,1,1,0,0,2,2,1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
134,134,24,Tongue,Tongue Reef,16026,s,16.406,145.843,0.6089,0.6374,24,25,Mid-Outer,199,24.13,8/18/1995 0:00:00,td,900,2.5,3,2,45,100,30,10,NA,NA,NA,NA,50,50,NA,NA,NA,NA,10,10,,NA,NA,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
135,135,24,Tongue,Tongue Reef,16026,s,16.406,145.843,0.6089,0.6374,22,19,Mid-Outer,200,24.14,8/18/1995 0:00:00,td,930,1,1,1,0,100,20,20,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,5,10,,NA,NA,1,0,1,0,4,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
136,136,24,Tongue,Tongue Reef,16026,s,16.406,145.843,0.6089,0.6374,23,19,Mid-Outer,201,24.15,8/18/1995 0:00:00,td,1030,1,1,1,0,100,20,20,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,5,10,,NA,NA,2,2,0,1,3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
137,137,24,Tongue,Tongue Reef,16026,s,16.40633333,145.8475,0.6143,0.6372,50,41,Mid-Outer,202,24.21,8/18/1995 0:00:00,ld,1030,5.5,7,4,5,60,10,5,NA,30,NA,1,30,20,10,10,30,NA,10,15,,NA,NA,2,2,1,2,0,1,1,0,2,0,0,1,0,2,0,1,1,0,0,0,1,2,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
138,138,24,Tongue,Tongue Reef,16026,s,16.40633333,145.8475,0.6143,0.6372,57,39,Mid-Outer,203,24.22,8/18/1995 0:00:00,ld,1100,3,4,2,15,100,20,10,NA,20,NA,2,90,10,NA,NA,NA,NA,10,15,,NA,NA,0,1,1,1,3,1,3,1,2,1,0,2,2,0,1,0,0,1,2,0,1,2,1,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,1,2,0,1,1,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
